model,pretrained,prompt_id,mean_accuracy,sd_accuracy,mean_ece,pareto_nondominated,baseline_score
RN50,openai,p00,0.472908,0.14603499003154521,0.06164498849850889,True,0.3875615072845256
RN50,openai,p01,0.43870000000000003,0.14773392627617046,0.07115823993599411,False,0.350601388874716
RN50,openai,p02,0.46391999999999994,0.14832920016511125,0.07479414755216236,False,0.37479657040701186
RN50,openai,p03,0.450124,0.15183192506936832,0.06642431585274136,False,0.36092317429476756
RN50,openai,p04,0.478284,0.1533538850660943,0.0668619240441322,True,0.3882346726581264
RN50,openai,p05,0.4882053333333333,0.1508278057859299,0.09857790353988603,True,0.3930758497323912
RN50,openai,p06,0.5006973333333333,0.1546784869240617,0.1529203180829783,True,0.3927740262547068
RN50,openai,p07,0.41414,0.1439595006862619,0.07181883140066261,True,0.32779648337673656
RN50,openai,p08,0.439492,0.15479444675422294,0.07780626942028597,False,0.3465335227388313
RN50,openai,p09,0.42670800000000003,0.15704160041039905,0.09452076440803205,False,0.3292830469131941
RN50,openai,p10,0.48490933333333336,0.1498513372983041,0.07737190055370327,True,0.39450928457344064
RN50,openai,p11,0.39004266666666665,0.14642732739830022,0.15297291021833812,False,0.28623442092384893
ViT-B-32,openai,p00,0.707336,0.13872909985271997,0.042030762639919866,True,0.629565297545656
ViT-B-32,openai,p01,0.7200266666666667,0.14345415063124986,0.06886581250259276,False,0.6345264288505232
ViT-B-32,openai,p02,0.7115066666666666,0.14865690894329997,0.09556924605208632,False,0.6180643629845994
ViT-B-32,openai,p03,0.7201626666666666,0.13624021985561502,0.05199216160380835,True,0.6416441244180975
ViT-B-32,openai,p04,0.719504,0.136179973762863,0.05547216090363259,True,0.640319580937842
ViT-B-32,openai,p05,0.705936,0.14765326223503714,0.09056275286797678,False,0.6139968183088861
ViT-B-32,openai,p06,0.7127479999999999,0.13419239753710624,0.12536455804069835,True,0.6205788896233072
ViT-B-32,openai,p07,0.696416,0.14500325908732511,0.09636434791237113,False,0.6046415008738633
ViT-B-32,openai,p08,0.6852106666666666,0.1525863163548382,0.10015495780733223,False,0.588886516927781
ViT-B-32,openai,p09,0.6991080000000001,0.14315793183979947,0.07676236454677578,False,0.6121765611707451
ViT-B-32,openai,p10,0.7070186666666667,0.13781119545520534,0.05014381116664405,True,0.6280843067057352
ViT-B-32,openai,p11,0.7197346666666666,0.13869735913358494,0.07219877159255737,False,0.6359462327813626
